,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
315,0.60985,0.68946,1.055,1.0157,1.2526,1.7621
316,0.60985,0.68946,1.3761,1.0157,0.80869,6.6099
317,0.26528,2.5419,1.3761,4.9033,1.2526,0.41065
318,0.65707,2.5419,2.0249,0.54523,1.8098,0.41065
319,0.65707,0.18411,2.0249,4.9033,1.8098,1.5995
320,2.7304,0.18411,0.68432,1.7078,3.2313,1.5995
321,2.7304,2.4789,0.68432,0.76705,0.14726,0.63343
322,1.7865,1.6859,2.6707,0.76705,0.14726,0.63343
323,0.23503,1.6859,2.6707,0.0064871,1.3287,2.7528
324,0.64723,0.047034,4.8307,0.0064871,4.2909,2.7528
325,0.64723,0.047034,5.6538,0.14721,0.66272,2.8091
326,0.20917,0.20512,0.24538,0.14721,0.33352,2.7905
327,0.20917,0.20512,0.24538,2.6239,0.33352,4.3319
328,0.72932,0.32381,2.4115,1.963,2.1589,6.6634
329,0.045829,0.32381,0.76657,1.963,2.1589,6.6634
330,0.045829,0.32731,1.4897,0.23247,0.68437,0.28528
331,0.68102,0.32731,1.4897,0.54735,0.66886,0.28528
332,0.68102,1.6212,4.2826,0.54735,0.12122,0.8326
333,2.6229,0.31964,4.0874,2.7356,0.12122,2.5597
334,2.6229,0.31964,0.38639,2.1038,0.93328,2.5597
335,2.9376,0.1352,0.38639,2.7356,1.845,0.64266
336,1.9629,0.1352,1.8559,2.7356,1.845,10.429
337,0.28271,2.1064,11.981,0.05491,0.13472,3.7755
338,0.28271,2.1064,3.5747,0.05491,0.13472,3.7755
339,1.9695,1.3822,2.4449,0.088737,0.70856,4.1602
340,1.9695,0.31446,3.8201,0.088737,0.70856,4.1602
341,0.14231,1.3822,0.78241,0.81596,0.52233,0.13046
342,0.14231,0.20033,0.78241,0.073178,0.14571,0.4731
343,0.0034193,0.9371,1.011,0.073178,0.14571,4.1672
344,0.0034193,0.32742,1.011,10.913,1.6415,3.0909
345,2.6571,0.23414,4.6023,0.59522,0.0082578,2.0532
346,2.6571,0.098093,2.8862,0.64872,0.0082578,2.0532
347,2.4001,0.098093,6.8723,0.64872,0.084343,6.2394
348,0.16211,1.9121,1.4391,4.251,0.084343,1.5778
349,0.16211,1.9121,0.19844,4.251,1.149,1.5778
350,4.5568,0.48832,0.19844,4.0539,1.149,1.6991
351,3.3923,2.2207,0.35552,3.6229,2.8803,3.1037
352,3.3759,1.3108,0.35552,4.3835,2.8803,2.8211
353,1.0666,0.54032,8.064,4.3835,1.9166,2.8211
354,1.0666,0.31995,2.7789,0.52437,2.6072,4.5899
355,8.9126,0.31995,2.7789,0.52437,1.3937,4.2185
356,4.4331,2.2715,5.1617,0.33112,1.2572,4.2185
357,4.4331,1.0073,4.829,0.33112,1.2572,3.0962
358,0.36293,1.2186,7.3455,4.699,0.59806,3.0962
359,0.36293,2.1702,4.1318,2.8237,0.41885,0.23092
